"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3341,"Q9Y3C6|PPIL1_HUMAN","Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens OX=9606 GN=PPIL1 PE=1 SV=1",-2.09959632689658,11.0377454835448,-1.72961051718276,0.0898329361229054,0.380922204887121,-4.45401077747728
3342,"Q86YS6|RAB43_HUMAN","Ras-related protein Rab-43 OS=Homo sapiens OX=9606 GN=RAB43 PE=1 SV=1",-1.81223478452396,4.71807201006543,-0.958947319949129,0.34217228832377,0.570331287078358,-5.37638779088876
3343,"Q92530|PSMF1_HUMAN","Proteasome inhibitor PI31 subunit OS=Homo sapiens OX=9606 GN=PSMF1 PE=1 SV=2",-0.775906517145817,11.4746043388906,-0.738071055904093,0.463901037726022,0.656749713038853,-5.54760092261685
3344,"Q9H488|OFUT1_HUMAN","GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POFUT1 PE=1 SV=1",-1.63967205494935,11.8865500090059,-1.72326776094041,0.0909831644243129,0.38259339367387,-4.46355391011033
3345,"Q9H098|F107B_HUMAN","Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1",-4.0198169908226,10.0359173284491,-2.43699247716667,0.0183892826051594,0.292499164066587,-3.20748526758585
3346,"P02765|FETUA_HUMAN","Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2",-0.0781006314181543,5.51106742131729,-0.0401112897541543,0.968163193237952,0.981841034442161,-5.79815183743305
3347,"O15258|RER1_HUMAN","Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1",-2.13239263170643,6.06397443762583,-1.02854923683731,0.308612407538563,0.542528016027996,-5.31354580486417
3348,"Q9BTZ2|DHRS4_HUMAN","Dehydrogenase/reductase SDR family member 4 OS=Homo sapiens OX=9606 GN=DHRS4 PE=1 SV=3",-2.27226869548038,5.70279792556411,-1.13713785675108,0.260868953369545,0.503839722942883,-5.20713653156784
3348,"Q6PKH6|DR4L2_HUMAN","Dehydrogenase/reductase SDR family member 4-like 2 OS=Homo sapiens OX=9606 GN=DHRS4L2 PE=2 SV=1",-2.11937298591026,5.62635007077905,-1.06642194555759,0.291325093002663,0.527753549596012,-5.27758565879342
3349,"Q86Y37|CACL1_HUMAN","CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CACUL1 PE=1 SV=1",-0.532788854859989,5.55910287197444,-0.265378735788744,0.791802359468504,0.88533041594778,-5.76624373686509
3350,"P46776|RL27A_HUMAN","60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2",-2.72532849473267,12.1321591131941,-1.7892004732067,0.0945861956040294,0.385701893955712,-4.40567571395891
3354,"Q8N183|NDUF2_HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=NDUFAF2 PE=1 SV=1",-0.233201802136206,11.2571268382033,-0.216707516748726,0.829312857055333,0.911418850558132,-5.77711773234809
3355,"O95168|NDUB4_HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3",-0.277802092324796,10.5879622517591,-0.176683963382058,0.860632074593741,0.927607265275008,-5.78435255642632
3356,"Q8NFH4|NUP37_HUMAN","Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1",-1.27906840103617,10.77527305655,-0.981320615325117,0.331131399241581,0.559946186310754,-5.35664754154374
3357,"Q96GE9|DMAC1_HUMAN","Distal membrane-arm assembly complex protein 1 OS=Homo sapiens OX=9606 GN=DMAC1 PE=1 SV=1",-3.61188372892923,8.29269683704123,-1.88701495989843,0.0649360996547745,0.37142069218209,-4.20744917255833
3358,"P83731|RL24_HUMAN","60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1",-1.05297619885914,12.937729661182,-1.47481844134731,0.146493624027992,0.421420367594079,-4.8127142077534
3359,"O43924|PDE6D_HUMAN","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Homo sapiens OX=9606 GN=PDE6D PE=1 SV=1",-6.14176890034551,7.84653273363199,-3.17934500427191,0.0025266009520144,0.172232339720537,-1.56181402463916
3360,"Q6I9Y2|THOC7_HUMAN","THO complex subunit 7 homolog OS=Homo sapiens OX=9606 GN=THOC7 PE=1 SV=3",-3.058883168193,8.82087557670421,-1.63994884335227,0.107255898144836,0.38886008694732,-4.58603841062959
3361,"P49770|EI2BB_HUMAN","Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3",-2.14201262329728,11.3140602439429,-1.56676949080794,0.127036450170385,0.408642277935793,-4.69296054558175
3362,"A6NDU8|CE051_HUMAN","UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1",-3.10678908199879,9.20624092306371,-1.73636161413025,0.0886219300501053,0.378665330085122,-4.44381949166604
3363,"Q13630|FCL_HUMAN","GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=GFUS PE=1 SV=1",-4.06409875737533,11.1389422072799,-3.23975274079625,0.00212304616303046,0.166253814984949,-1.41517309247513
