"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3229,"Q9Y399|RT02_HUMAN","28S ribosomal protein S2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1",3.53516464392219,4.72443456116788,2.38116183458392,0.0270449914583651,0.0352482116163526,-3.49799461166165
3230,"Q6ZMZ3|SYNE3_HUMAN","Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=2",2.32601183793794,4.11985815817575,1.9788171291076,0.0614236089027007,0.0738310628396497,-4.1788631968109
3231,"P06746|DPOLB_HUMAN","DNA polymerase beta OS=Homo sapiens OX=9606 GN=POLB PE=1 SV=3",3.07553981091676,4.49462214466517,2.28254335507595,0.0332504944798843,0.0417256857065041,-3.67159653395832
3232,"Q9BY43|CHM4A_HUMAN","Charged multivesicular body protein 4a OS=Homo sapiens OX=9606 GN=CHMP4A PE=1 SV=3",9.0921142904555,7.50290938443453,15.2026162657763,1.23904219268816e-12,6.16319436931451e-12,14.6671127460909
3233,"Q4G0N4|NAKD2_HUMAN","NAD kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=NADK2 PE=1 SV=2",6.19378289192516,6.05374368516936,4.52266383928071,0.000196299928434885,0.000382466965827078,0.783788690981344
3235,"Q86Y82|STX12_HUMAN","Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1",4.89267920083128,5.40319183962242,2.97488272520047,0.00735030413535509,0.0107517746660779,-2.38202784182438
3236,"Q3MHD2|LSM12_HUMAN","Protein LSM12 homolog OS=Homo sapiens OX=9606 GN=LSM12 PE=1 SV=2",9.87036673642958,7.89203560742157,14.9585227258629,1.68205766355094e-12,8.15607305374197e-12,14.5022234442699
3239,"Q9NZ32|ARP10_HUMAN","Actin-related protein 10 OS=Homo sapiens OX=9606 GN=ACTR10 PE=1 SV=1",5.51300811757866,5.71335629799611,3.44032214324175,0.00251849847479451,0.00411205221711571,-1.44904845935908
3240,"O60828|PQBP1_HUMAN","Polyglutamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PQBP1 PE=1 SV=1",3.50532403720021,4.70951425780689,2.3974774983952,0.0261281735266662,0.0342504147353302,-3.46889535794547
3244,"A2RRP1|NBAS_HUMAN","Neuroblastoma-amplified sequence OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2",2.38827626513522,4.15099037177439,1.78701437685695,0.0887275064192209,0.102842710015223,-4.47479632673207
3245,"P23497|SP100_HUMAN","Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3",3.82777061146283,4.8707375449382,2.42084428287461,0.024865285101867,0.0329086791482255,-3.42704008031893
3246,"Q9NVH0|EXD2_HUMAN","Exonuclease 3'-5' domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EXD2 PE=1 SV=2",3.27364576639782,4.59367512240569,2.33215778585984,0.0299808317591829,0.0383348396787959,-3.58475703834151
3247,"Q9HAF1|EAF6_HUMAN","Chromatin modification-related protein MEAF6 OS=Homo sapiens OX=9606 GN=MEAF6 PE=1 SV=1",6.58882553756422,6.25126500798889,6.20085331808886,4.17963273558929e-06,1.0489951780977e-05,4.08486747063302
